"","State","avg_black_client","avg_native_american_client","avg_asian_client","avg_pacific_islander_clients","avg_black_pop","avg_native_american_pop","avg_asian_pop","avg_pacific_islander_pop","dif_black","dif_american_native","dif_asian","dif_pacific_islander"
"31","New Jersey",0.246975,0,0.0241,0,0.12915,0.0014,0.09155,0.0003125,0.117825,-0.0014,-0.06745,-0.0003125
"32","New Mexico",0.0537,0.0611225,0.008575,0,0.0179,0.087,0.014575,0.000625,0.0358,-0.0258775,-0.006,-0.000625
"33","New York",0.293375,0.00640875,0.0263375,0.0007125,0.1454375,0.0029,0.0822125,0.000425,0.1479375,0.00350875,-0.055875,0.0002875
"34","North Carolina",0.4182125,0.01030125,0.00185,0.000975,0.2137875,0.0113625,0.0267625,0.0006125,0.204425,-0.00106125,-0.0249125,0.0003625
"35","North Dakota",0.043125,0.23279125,0,0,0.0226875,0.051625,0.0137,0.000525,0.0204375,0.18116625,-0.0137,-0.000525
"36","Ohio",0.22235,0.001525,0.0055375,0,0.123775,0.0019,0.0207625,0.00035,0.098575,-0.000375,-0.015225,-0.00035
"37","Oklahoma",0.39955,0.1648425,0.005025,0.00215,0.0737375,0.082975,0.0207875,0.0014,0.3258125,0.0818675,-0.0157625,0.00075
"38","Oregon",0.050625,0.02814875,0.010225,0,0.0183375,0.011175,0.0425375,0.0037625,0.0322875,0.01697375,-0.0323125,-0.0037625
"39","Pennsylvania",0.2401875,0.0047825,0.010325,0.001175,0.10715,0.0014,0.032525,0.0002875,0.1330375,0.0033825,-0.0222,0.0008875
"40","Rhode Island",0.026125,0,0.0126375,0,0.0572875,0.004275,0.0331875,6e-04,-0.0311625,-0.004275,-0.02055,-6e-04
"41","South Carolina",0.5329875,0.00363625,0.0042875,0.001225,0.2718375,0.003675,0.01515,0.0005625,0.26115,-3.87500000000006e-05,-0.0108625,0.0006625
"42","South Dakota",0.0136,0.27013875,0.015175,0,0.0181125,0.0842,0.0131875,0.0004875,-0.0045125,0.18593875,0.0019875,-0.0004875
"43","Tennessee",0.3357375,0.00235875,0.0086125,0,0.1674625,0.0026875,0.01675,5e-04,0.168275,-0.00032875,-0.0081375,-5e-04
"44","Texas",0.2782875,0.00796375,0.0282125,0.0005875,0.11745,0.0032,0.0447125,0.0008125,0.1608375,0.00476375,-0.0165,-0.000225
"45","Utah",0.022825,0.00662875,0.00315,0.004625,0.0104625,0.0096,0.0227875,0.009225,0.0123625,-0.00297125,-0.0196375,-0.0046
"46","Vermont",0.0514375,0.00511125,0.00515,0.0072,0.0114875,0.0032375,0.01625,0.0002625,0.03995,0.00187375,-0.0111,0.0069375
"47","Virginia",0.444575,0.00181125,0.018975,0.003175,0.190625,0.0026125,0.06235,0.0007125,0.25395,-0.00080125,-0.043375,0.0024625
"48","Washington",0.1887625,0.06468625,0.04585,0.02615,0.037225,0.013,0.0817875,0.0065,0.1515375,0.05168625,-0.0359375,0.01965
"49","West Virginia",0.08785,0.00856,0,0,0.034525,0.0020375,0.0079,2e-04,0.053325,0.0065225,-0.0079,-2e-04
"50","Wisconsin",0.272925,0.0227,0.00265,0.003475,0.0632,0.0087625,0.02685,0.0003375,0.209725,0.0139375,-0.0242,0.0031375
"51","Wyoming",0.01875,0.06041625,0.00695,0,0.011325,0.0211,0.008925,0.0006875,0.007425,0.03931625,-0.001975,-0.0006875
