General Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,State,Status,Name,Address,Address 2,City,Zip Code,E-mail Address (if applicable),Website Address (if applicble),Phone,TTY,Toll-free Phone,Toll-free TTY,Fax,Operating Agency Name,Operating Agency Address,Operating Agency Address 2,Operating Agency State (FY2014 and earlier),Operating Agency Zip Code,Operating Agency E-mail,Operating Agency Website,Operating Agency Phone,Operating Agency TTY,Operating Agency Toll-free Phone,Operating Agency Toll-free TTY,Operating Agency Fax,Name of CAP Director/Coordinator,Person to contact regarding report,Contact Person Phone
2011,Missouri,Published,Missouri Protection & Advocacy Services,925 S. Country Club Dr.,,Jefferson City,65109,mopasjc@embarqmail.com,http://www.moadvocacy.org,573-893-3333,800-735-2966,800-392-8667,800-735-2966,573-893-4231,Missouri Protection & Advocacy Services,925 S. Country Club Dr.,,MO,65109,mopasjc@embarqmail.com,http://www.moadvocacy.org,573-893-3333,800-735-2966,800-392-8667,800-735-2966,573-893-4231,Daniel Cayou,Shawn de Loyola,573-893-3333
2011,Nebraska,Published,Nebraska Vocational Rehabilitation,301 Centennial Mall South-6th Floor,Box 94987,Lincoln,68509,mark.schultz@nebraska.gov,http://www.cap.ne.gov,402.471.1202,402.471.3644,877.637.3422,800.637.3422,402.471.0788,,,,NE,,,,,,,,,Victoria Rasmussen,Victoria Rasmussen,402.471.3656
2011,New Jersey,Published,Disability Rights New Jersey,210 S Broad Street,FL 3,Trenton,8608,advocate@drnj.org,http://www.drnj.org,609-292-9742,609-633-7106,800-922-7233,,609-777-0187,Disability Rights New Jersey,210 S Broad Street,FL 3,NJ,8608,advocate@drnj.org,http://www.drnj.org,609-292-9742,609-633-7106,800-922-7233,,609-777-0187,Lillie Lowe-Reid,Lillie Lowe-Reid,609-292-9742
2011,New Mexico,Published,Disability Rights New Mexico,1720 Louisiana Blvd. NE Suite 204,,Albuquerque,87110,info@drnm.org,http://www.drnm.org,505-256-3100,505-256-3100,800-432-4682,800-432-4682,505-256-3184,Disability Rights New Mexico,1720 Louisiana Blvd. NE Suite 204,,NM,87110,info@drnm.org,http://www.drnm.org,505-256-3100,505-256-3100,800-432-4682,800-432-4682,505-256-3184,Bernadine Chavez,Leslie Sneider,505-256-3100
2011,New York,Published,NYS CQCAPD,401 State Street,,Schenectady,12305,webmaster@cqc.ny.gov,http://www.cqc.ny.gov,(518)388-2897,1-800-624-4143,1-800-624-4143,1-800-624-4143,(518)388-2890,NYS CQCAPD,401 State Street,,NY,12305,webmaster@cqc.ny.gov,http://www.cqc.ny.gov,(518)388-2897,1-800-624-4143,1-800-624-4143,1-800-624-4143,(518)388-2890,Lisa Rosano- Kaczkowski,Colleen Scott,518-388-2897
2011,North Carolina,Published,Division of Vocational Rehabilitation Services,2801 Mail Service Center,,Raleigh,27699,,http://dvr.dhhs.state.nc.us,919-855-3500,919-855-3579,,,919-733-7968,Division of Vocational Rehabilitation Services,2801 Mail Service Center,,NC,27699,,http://dvr.dhhs.state.nc.us,919-855-3500,919-855-3579,,,919-733-7968,John J. Marens,John Marens,919-855-3600
2011,Oregon,Published,Disability Rights Oregon formerly OAC,620 SW Fifth Ave. Ste 500,,Portland,97204,bherget@disabilityrightsoregon.org,http://www.disabilityrightsoregon.org,503-243-2081,503-323-9161,800-452-1695,800-556-5351,503-243-1738,Disability Rights Oregon formerly OAC,620 SW Fifth Ave. Ste 500,,OR,97204,bherget@disabilityrightsoregon.org,http://www.disabilityrightsoregon.org,503-243-2081,503-323-9161,800-452-1695,800-556-5351,503-243-1738,Ted Wenk,Barbara Herget,503-243-2081
2011,South Carolina,Published,Governor`s Office Client Assistance Program,1205 Pendleton St.,,Columbia,29201,mbutler@oepp.sc.gov,http://www.oepp.sc.gov/cap,803-734-0285,803-734-1147,1-800-868-0040,,803-734-0546,Governor`s Office Client Assistance Program,1205 Pendleton St.,,SC,29201,mbutler@oepp.sc.gov,http://www.oepp.sc.gov/cap,803-734-0285,803-734-1147,1-800-868-0040,,803-734-0546,Marjorie Butler,Marjorie Butler,803-734-0285
2011,South Dakota,Published,South Dakota Advocacy Services,221 S. Central Ave.,,Pierre,57501,keanr@sdadvocacy.com,http://www.sdadvocacy.com,605-224-8294,605-224-8294,800-658-4782,800-658-4782,605-224-5125,South Dakota Advocacy Services,221 S. Central Ave.,,SD,57501,keanr@sdadvocacy.com,http://www.sdadvocacy.com,605-224-8294,605-224-8294,800-658-4782,800-658-4782,605-224-5125,Robert J. Kean,Robert J. Kean,605-224-8294
2011,Texas,Published,Disability Rights Texas,7800 Shoal Creek Blvd. Suite 171-E,,Austin,78757,kstanfill@drtx.org,http://www.disabilityrightstx.org/,512-454-4816,512-454-4816,800-252-9108,800-252-9108,512-302-0902,Disability Rights Texas,7800 Shoal Creek Blvd. Suite171-E,,TX,78757,kstanfill@drtx.org,http://www.disabilityrightstx.org/,512-454-4816,512-454-4816,800-252-9108,800-252-9108,512-302-0902,Karen Stanfill,Karen Stanfill,512-454-4816
2011,Vermont,Published,Vermont Client Assistance Program,57 North Main Street,,Rutland,5738,nbreiden@vtlegalaid.org,http://vtlegalaid.org,802-775-0021,802-775-0021,800-769-7459,800-769-7459,802-775-0022,Vermont Client Assistance Program,57 North Main Street,,VT,5738,nbreiden@vtlegalaid.org,http://vtlegalaid.org,802-775-0021,802-775-0021,800-769-7459,800-769-7459,802-775-0022,Donald Parrish,Nancy Breiden,802-775-0021
2011,Virginia,Published,Virginia Office for Protection and Advocacy,1910 Byrd Avenue Suite 5,,Richmond,23230,General.vopa@vopa.virginia.gov,http://www.vopa.virginia.gov,804-225-2042,804-225-2042,800-552-3962,800-552-3962,804-662-7431,n/a,,,VA,,,,,,,,,"Colleen Miller, Executive Dire","Sherry Confer, Deputy Director",804-225-2042
2011,Washington,Published,Client Assistance Program,2531 Rainier Avenue South,Rainier Avenue S,Seattle,98144,jcap@qwestoffice.net,http://washingtoncap.org,(206) 721-5999,(206) 721-6072,(800) 544-2121,(888) 721-6072,(206) 721-5980,Client Assistance Program,2531 Rainier Avenue South,Rainier Avenue S,WA,98144,jcap@qwestoffice.net,http://washingtoncap.org,(206) 721-5999,(206) 721-6072,(800) 544-2121,(888) 721-6072,(206) 721-5980,Jerry Johnsen,Bob Huven,(206) 721-5996
2011,Alabama,Published,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,Montgomery AL,36103,Cary.Boswell@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7200,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,,AL,36103,Cary.Boswell@rehab.alabama.gov,http://www.rehab.state.al.us,334-293-7200,334-293-7500,1-800-441-7607,1-800-441-7607,334-293-7383,Rachel L. Hughes,Rachel L. Hughes,334-263-2749
2011,Alaska,Published,Department of Education and Early Development,801 West 10th Street Suite 200,,Juneau,99801,,,907-465-2875,,,,907-465-2110,"ASIST, Inc.","2900 Boniface Parkway, Suite 100",,AK,99504,akcap@alaska.com,http://home.gci.net/~alaskacap/,907-333-2211,907-333-2211,800-478-0047,800-478-0047,907-333-1186,Pam Stratton,Pam Stratton,907-250-4244
2011,American Samoa,Published,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,Pago Pago,96799,hellene.stanley@gmail.com,,(684) 699-2442,,,,(684) 699-7286,Office of Protection and Advocacy for the Disabled,P.O. Box 3937,,AS,96799,hellene.stanley@gmail.com,,(684) 699-2442,,,,(684) 699-7286,Uta Dr. Laloulu Tagoilelagi,Hellene F. Stanley,1-684-699-2442
2011,Arizona,Published,Arizona Center for Disability Law,5025 East Washington Street,Suite 202,Phoenix,85034,center@azdisabilitylaw.org,http://www.azdisabilitylaw.org,602-274-6287,602-274-6287,800-927-2260,800-927-2260,602-274-6779,Arizona Center for Disability Law,5025 East Washington Street,Suite 202,AZ,85034,center@azdisabilitylaw.org,http://www.azdisabilitylaw.org,602-274-6287,602-274-6287,800-927-2260,800-927-2260,602-274-6779,John C. Gutierrez,John C. Gutierrez,6022746287
2011,California,Published,Sheila Conlon Mentkowski,721 Capitol Mall,,Sacramento,95814,sheila.conlon-mentkowski@dor.ca.gov,http://www.dor.ca.gov,916-558-5395,916-604-4970,1-800-952-5544,1-800-712-1085,916-558-5391,Sheila Conlon Mentkowski,721 Capitol Mall,,CA,95814,sheila.conlon-mentkowski@dor.ca.gov,http://www.dor.ca.gov,916-558-5395,916-604-4970,1-800-952-5544,1-800-712-1085,916-558-5391,Sheila Conlon Mentkowski,Sheila Conlon Mentkowski,916-558-5395
2011,Colorado,Published,Center for Legal Advocacy,455 Sherman Streeet,Suite 130,Denver,80203,tlcmail@thelegalcenter.org,http://www.thelegalcenter.org,303-722-0300,303-722-3619,800-288-1376,800-288-1376,303-722-0720,Center for Legal Advocacy,455 Sherman Streeet,Suite 130,CO,80203,tlcmail@thelegalcenter.org,http://www.thelegalcenter.org,303-722-0300,303-722-3619,800-288-1376,800-288-1376,303-722-0720,Geoffrey Peterson,Geoffrey Peterson,800-531-2105
2011,District of Columbia,Published,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",,Washington,20002,jcooney@uls-dc.org,http://www.uls.dc.org,202-547-4747,202-547-2657,877-221-4638,,202 447-2662,,,,DC,,,,,,,,,Joseph R. Cooney,Joseph R. Cooney,202-547-0198
2011,Georgia,Published,Martin & Jones,123 N. McDonough St.,123 N. McDonough Street,Decatur,30030,gacapdirector@georgiacap.com,http://www.georgiacap.com,404-373-2040,404-373-2040,800-822-9727,800-822-9727,404-373-4110,Martin & Jones,123 N. McDonough St.,123 N. McDonough Street,GA,30030,gacapdirector@georgiacap.com,http://www.georgiacap.com,404-373-2040,404-373-2040,800-822-9727,800-822-9727,404-373-4110,Charles Martin,Charles Martin,404-373-3116
2011,Guam,Published,PARENTS-AGENCIES NETWORKING INC. (PAN INC),DOS AMANTES PLAZA SUITE 206,1350 N. MARINE CORPS DRIVE,UPPER TUMON GUAM,96913,gcap671@gmaI.com,http://www. guamgetcare.org,(671)646-4227,(671)646-4227,,,(671)649-4211,PARENTS-AGENCIES NETWORKING INC. (PAN INC),DOS AMANTES PLAZA SUITE 206,1350 N. MARINE CORPS DRIVE,GU,96913,gcap671@gmaI.com,http://www. guamgetcare.org,(671)646-4227,(671)646-4227,,,(671)649-4211,EDMUND OTERO CRUZ,EDMUND CRUZ,(671)646-4227
2011,Hawaii,Published,HAWAII DISABILITY RIGHTS CENTER,1132 Bishop Street,Suite 2102,Honolulu,96813,INFO@HAWAIIDISABILITYRIGHTS.OR,http://www.hawaiidisabilityrights.org,808-949-2922,808-949-2922,1-800-882-1057,1-800-882-1057,808-949-2928,HAWAII DISABILITY RIGHTS CENTER,1132 Bishop Street,Suite 2102,HI,96813,INFO@HAWAIIDISABILITYRIGHTS.OR,http://www.hawaiidisabilityrights.org,808-949-2922,808-949-2922,1-800-882-1057,1-800-882-1057,808-949-2928,Louis Erteschik,Ann E. Collins,808-949-2922
2011,Illinois,Published,Illinois Department of Human Services,Division of Rehabilitation Services,100 S. Grand Avenue 1st Floor,Springfield,62762,,,217-524-7552,217-524-7552,,,217-558-4270,Illinois Department of Human Services,Division of Rehabilitation Services,100 S. Grand Avenue 1st Floor,IL,62762,,,217-524-7552,217-524-7552,,,217-558-4270,Cathy Meadows,Cathy Meadows,217-875-9106
2011,Indiana,Published,Indiana Protection and Advocacy Services,4701 N. Keystone Ave.,Suite 222,Indianapolis,46205,sbeecher@ipas.in.gov,http://www.in.gov/ipas,317-722-5555,317-722-5563,1-800-622-4845,1-800-838-1131,317-722-5564,,.,,IN,,,,,,,,,Sue Beecher,Sue Beecher,800-622-4845
2011,Kansas,Published,The Disability Rights Center of Kansas,635 SW Harrison Suite 100,,Topeka,66603,rocky@drckansas.org,,785-273-9661,877-335-3725,877-776-1541,877-335-3725,,The Disability Rights Center of Kansas,635 SW Harrison Suite 100,,KS,66603,rocky@drckansas.org,,785-273-9661,877-335-3725,877-776-1541,877-335-3725,,,,
2011,Louisiana,Published,Advocacy Center,8325 Oak Street,,New Orleans,70118,dgallegos@advocacyla.org,http://www.advocacyla.org,504-522-2337,855-861-3577,800-960-7705,855-861-3577,504-522-5507,Advocacy Center,8325 Oak Street,,LA,70118,dgallegos@advocacyla.org,http://www.advocacyla.org,504-522-2337,855-861-3577,800-960-7705,855-861-3577,504-522-5507,Gallegos David,David Gallegos,504-522-2337
2011,Maryland,Published,Maryland Division of Rehabilitation Services -DORS,2301 Argonne DR,,Baltimore,21218,cap@dors.state.md.us,http://www.dors.state.md.us,(410)554-9361,,1-800-638-6243,1-800-638-6243,410-554-9362,Maryland Division of Rehabilitation Services -DORS,2301 Argonne DR,,MD,21218,cap@dors.state.md.us,http://www.dors.state.md.us,(410)554-9361,,1-800-638-6243,1-800-638-6243,410-554-9362,Thomas Laverty,Thomas Laverty,410-554-9363
2011,Mississippi,Published,Mississippi Society for Disabilities,P.O. Box 4958,500 G Woodrow Wilson Drive,Jackson MS 39216,39296,johnmsd@bellsouth.net,http://www.msdisabilities.com,601-362-2585,601-362-2585,800-962-2400,800-962-2400,601-982-1951,Mississippi Society for Disabilities,P.O. Box 4958,500 G Woodrow Wilson Drive,MS,39296,johnmsd@bellsouth.net,http://www.msdisabilities.com,601-362-2585,601-362-2585,800-962-2400,800-962-2400,601-982-1951,Johnny McGinn,Johnny McGinn,601-362-2585
2011,Montana,Published,Disability Rights Montana,1022 Chestnut Street,,Helena,59601,bernie@disabiltiyrightsmt.org,https://disabilityrightsmt.org,406-449-2344,406-449-2344,800-245-4743,800-245-4743,406-449-2418,Disability Rights Montana,1022 Chestnut Street,,MT,59601,bernie@disabiltiyrightsmt.org,https://disabilityrightsmt.org,406-449-2344,406-449-2344,800-245-4743,800-245-4743,406-449-2418,Bernadette Franks-Ongoy,Bernadette Franks-Ongoy,406-449-2344
2011,Nevada,Published,State Of Nevada Rehabilitation Division,505 East King Street #502,,Carson City,89701,detrvr@nvdetr.org,http://nvdetr.org,775-684-4040,775-684-8400,,,775-684-4184,State Of Nevada Rehabilitation Division,505 East King Street #502,,NV,89701,detrvr@nvdetr.org,http://nvdetr.org,775-684-4040,775-684-8400,,,775-684-4184,,,
2011,New Hampshire,Published,GOVERNOR`S COMMISSION ON DISABILITY,ATTN: CLIENT ASSISTANCE PROGRAM (CAP),57 REGIONAL DR,CONCORD NH,3301,bill.hagy@nh.gov,http://www.nh.gov/disability/,(603) 271-4175,(800) 852-3405,(800) 852-3405,(800) 852-3405,(603) 271-2837,GOVERNOR`S COMMISSION ON DISABILITY,ATTN: CLIENT ASSISTANCE PROGRAM (CAP),57 REGIONAL DR,NH,3301,bill.hagy@nh.gov,http://www.nh.gov/disability/,(603) 271-4175,(800) 852-3405,(800) 852-3405,(800) 852-3405,(603) 271-2837,,,
2011,North Dakota,Published,Division of Vocational Rehabilitation,1237 West Divide Avenue Ste 1A,,Bismarck,58501,rcusack@nd.gov,http://www.nd.gov/dhs/dvr/,701-328-8950,701-328-6888,1-800-755-2745,1-800-366-6888,701-328-8969,Protection and Advocacy Project,400 East Broadway Ste 409,,ND,58501,tlarsen@nd.gov,http://www.ndpanda.org,701-328-2950,,1-800-472-2670,,701-328-3934,Teresa Larsen,Robyn Throlson,701-328-8955
2011,Northern Marianas,Published,NMPASI,P.O. Box 503529,,Saipan,96950,jamesrayphand@yahoo.com,http://www.nmpasi.com,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,NMPASI,P.O. Box 503529,,MP,96950,nmpasi@pticom.com,http://www.nmpasi.com,(670) 235-7273,(670) 235-7278,,,(670) 235-7275,James M. Rayphand,Thomas M. Thornburgh,(670) 235-7273
2011,Ohio,Published,Ohio Legal Rights Service,50 West Broad Street,Suite 1400,Columbus,43215,,http://olrs.ohio.gov,614-466-7264,614-728-2553,800-282-9181,800-858-3542,614-644-1888,Ohio Legal Rights Service,50 West Broad Street,Suite 1400,OH,43215,,http://olrs.ohio.gov,614-466-7264,614-728-2553,800-282-9181,800-858-3542,614-644-1888,,,
2011,Oklahoma,Published,Office of Disability Concerns,2401 N.W. 23rd St. Ste 90,,Oklahoma City Ok,73107,marilyn.burr@odc.ok.gov,http://www.odc.ok.gov,405-521-3756,,800-522-8224,,405-522-6695,Office of Disability Concerns,2401 N.W. 23rd St. Ste 90,,OK,73107,marilyn.burr@odc.ok.gov,http://www.odc.ok.gov,405-521-3756,405-522-6706,800-522-8224,,405-522-6695,Marilyn Bur,Marilyn Burr,405-521-3756
2011,Pennsylvania,Published,Center for Disability Law & Policy,1515 Market Street,Suite 1300,Philadelphia,19102,admin@equalemployment.org,http://www.equalemployment.org,215 557 7112,215 557 7112,1-888-745-2357,1-888-745-2357,215 557 7602,Center for Disability Law & Policy,1515 Market Street,Suite 1300,PA,19102,admin@equalemployment.org,http://www.equalemployment.org,215 557 7112,215 557 7112,1-888-745-2357,1-888-745-2357,215 557 7602,Stephen S Pennington,Jamie Ray-Leonetti,215 557 7112
2011,Puerto Rico,Published,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,PO BOX 41309,,SAN JUAN PR,940,idiaz@oppi.gobierno.pr,http://www.oppi.gobierno.pr,(787) 721-4299,(787)725-4012,1-800-981-4125,(787)725-4012,(787)721-2455,OFFICE OF THE OMBUDSMAN FOR PERSONS WITH DISABILIT,PO BOX 41309,,PR,940,idiaz@oppi.gobierno.pr,http://www.oppi.gobierno.pr,(787) 721-4299,(787)725-4012,1-800-981-4125,(787)725-4012,(787)721-2455,Luz I. Aviles,Margaret Morales,(787) 725-2333
2011,Rhode Island,Published,RHODE ISLAND DISABILITY LAW CENTER INC.,275 WESTMINSTER STREET,SUITE 401,PROVIDENCE,2903,rbandusky@ridlc.org,http://www.ridlc.org,401-831-3150,401-831-5335,800-733-5332,,401-274-5568,RHODE ISLAND DISABILITY LAW CENTER INC.,275 WESTMINSTER STREET,SUITE 401,RI,2903,rbandusky@ridlc.org,http://www.ridlc.org,401-831-3150,401-831-5335,800-733-5332,,401-274-5568,Raymond L. Bandusky,Anne Mulready,401-831-3150
2011,Tennessee,Published,Disability Law & Advocacy of Tennessee,2416 21st Avenue South Suite 100,,Nashville,37212,GETHELP@dlactn.org,http://www.dlactn.org,615-298-1080,615-298-2471,1-800-342-1660,1-888-852-2852,615-298-2046,,,,TN,,,,,,,,,Shirley Shea,Evelyn Doxey,615-732-6990
2011,Utah,Published,Disability Law Center,205 North 400 West,,Salt Lake City,84103,info@disabilitylawcenter.org,http://disabilitylawcenter.org,801-363-1347,,800-662-9080,800-550-4182,801-363-1437,Disability Law Center,205 North 400 West,,UT,84103,info@disabilitylawcenter.org,http://disabilitylawcenter.org,801-363-1347,,800-662-9080,,801-363-1437,Elysia Pace,Adina Zahradnikova,801-363-1347
2011,Virgin Islands,Published,Disability Rights Center of the Virgin Islands,63 Cane Carlton,,Frederiksted,840,info@drcvi.org,http://drcvi.org,340-772-1200,999-999-9999,999-999-9999,999-999-9999,340-772-0609,Disability Rights Center of the Virgin Islands,63 Cane Carlton,,VI,840,info@drcvi.org,http://drcvi.org,340-772-1200,999-999-9999,999-999-9999,999-999-9999,340-772-0609,Amelia Headley LaMont,Amelia Headley LaMont,340 772-1200
2011,West Virginia,Published,West Virginia Advocates,Litton Building 4th Floor,1207 Quarrier St.,Charleston,25301,info@wvadvocates.org,http://wvadvocates.org/,304-346-0847,304-346-0847,1-800-950-5250,1-800-950-5250,304-346-0867,West Virginia Advocates,Litton Building 4th Floor,1207 Quarrier St.,WV,25301,info@wvadvocates.org,http://wvadvocates.org/,304-346-0847,304-346-0847,1-800-950-5250,1-800-950-5250,304-346-0867,Linnie Simiryan,Jodi Calissie,304-346-0847
2011,Wisconsin,Published,Wisconsin Client Assistance Program,2811 Agriculture Drive,PO Box 8911,Madison,53708,linda.vegoe@wisconsin.gov,http://www.wicap.wisconsin.gov,608-224-5070,,800-362-1290,,608-224-5069,Wisconsin Client Assistance Program,2811 Agriculture Drive,PO Box 8911,WI,53708,linda.vegoe@wisconsin.gov,http://www.wicap.wisconsin.gov,608-224-5070,,800-362-1290,,608-224-5069,,,
2011,Wyoming,Published,Protection & Advocacy System Inc.,7344 Stockman Street,,Cheyenne,82009,wypanda@wypanda.com,http://www.wypanda.com,(307) 638-7668,(307) 638-7668,1-800-821-3091,1-800-821-3091,(307) 638-0815,Not Applicable,,,WY,,wypanda@wypanda.com,http://www.wypanda.com,(307) 638-7668,(307) 638-7668,1-800-821-3091,1-800-821-3091,(307) 638-0815,Lee Beidleman,Lee Beidleman,307-638-7668
2011,Michigan,Published,Michigan Protection and Advocacy Service Inc.,4095 Legacy Parkway,Suite 500,Lansing,48911,ecerano@mpas.org,http://www.mpas.org,(517) 487-1755,(517) 487-1755,(800) 288-5923,(800) 288-5923,(517) 487-0827,Michigan Protection and Advocacy Service Inc.,4095 Legacy Parkway,Suite 500,MI,48911,ecerano@mpas.org,http://www.mpas.org,(517) 487-1755,(517) 487-1755,(800) 288-5923,(800) 288-5923,(517) 487-0827,Brian Sabourin,Elmer L. Cerano,517-487-1755
2011,District of Columbia,Published,"University Legal Services, Inc.","220 I Street, N.E., Suite 130",,Washington,20002,jcooney@uls-dc.org,http://www.uls.dc.org,202 547-4747,202-547-2657,877-221-4638,,202-547-2662,,,,DC,,,,,,,,,Joseph R. Cooney,Joseph R. Cooney,202-547-0198
2012,Arkansas,Published,Disability Rights Center of Arkansas,1100 N. University Suite 201,,Little Rock,72207,panda@arkdisabilityrights.org,http://arkdisabilityrights.org,501 296-1775,501 296-1775,800 482-1174,800 482-1174,501 296-1779,Disability Rights Center of Arkansas,1100 N. University Suite 201,,AR,72207,Panda@arkdisabilityrights.org,http://www.arkdisabilityrights.org,501 296-1775,501 296-1775,800 482-1174,800 482-1174,501 296-1779,Eddie Miller,Eddie Miller,501-296-1779
2012,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,Hartford,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,CT,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,,Gretchen Knauff,860.297.4342
